,m/z,Name,Formula
544.2663255757,545.2738,"Lyso-PS_20:4_5Z,8Z,11Z,14Z_0:0_",C26H43NO9P
826.4805782399,827.48763,PGP_14:1_11Z_20:1_11Z_,C40H76O13P2
264.1045164793,265.11179,,C12H16N4OS
398.1372306563,399.14451,,C15H22N6O5S
276.1321683919,277.13944,Saccharopine,C11H20N2O6
297.0895936939,298.09687,5_-S-methyl-5_-thioadenosine,C11H15N5O3S
306.0759963629,307.08327,Leucocyanidin,C15H14O7
222.0674848266,223.07476,L-Cystathionine,C7H14N2O4S
309.079626194,310.0869,,C14H11N7S
468.0654687685,469.07275,,C11H24N4O10S3
207.3617415684,208.36902,,
781.108776311,782.11605,,C26H44N3O10PS6
331.5545688242,332.56185,,
250.0624054083,251.06968,gamma-Glutamylcysteine,C8H14N2O5S
267.0967973522,268.10407,Adenosine,C10H13N5O4
330.1597441897,331.16702,,C16H27O5P
555.2714420222,556.27872,,C24H45NO11S
401.3504904426,402.35777,,C23H47NO4
314.1857974129,315.19307,,C13H31O6P
424.1014623909,425.10874,,C20H24O6S2
308.1307178122,309.13799,,C14H20N4O2S
212.091008594,213.09829,Glycyl-Histidine,C8H12N4O3
284.271563201,285.27884,Stearic acid,C18H36O2
782.1060219877,783.1133,,C29H14N22O3S2
363.0580078456,364.06528,8-Oxo-dGMP,C10H14N5O8P
324.1056544195,325.11293,,C12H20O10
296.6081229487,297.6154,,
378.1808545165,379.18813,,C17H31O7P
201.1727696159,202.18005,,C11H23NO2
389.000432724,390.00771,,C10H16NO9PS2
362.2069309713,363.21421,trans-Isohumulone,C21H30O5
312.2664548516,313.27373,,C19H36O3
338.1770090311,339.18429,,C16H34OS3
236.2140711916,237.22135,"3-_5,6,6-Trimethylbicyclo_2.2.1_hept-1-yl_cyclohexanol",C16H28O
203.115666118,204.12294,L-Acetylcarnitine,C9H17NO4
427.366156858,428.37343,Stearoylcarnitine,C25H49NO4
429.3818086311,430.38909,,C25H51NO4
378.1573003609,379.16458,,C14H26N4O6S
259.995789085,261.00307,,C12H4O7
255.2926555994,256.29993,,C17H37N
555.2721256396,556.2794,,C25H49NO6S3
270.2559171241,271.26319,Heptadecanoic acid,C17H34O2
646.451475395,647.45875,,C42H63O3P
624.0840032687,625.09128,,C14H25N8O16PS
453.1893303082,454.19661,,C16H31N5O8S
307.0853216805,308.0926,,C8H22NO7PS
264.0158642118,265.02314,,C6H16O5S3
556.2663792663,557.27366,,
306.5776608614,307.58494,,
440.096385563,441.10366,,C20H24O7S2
546.101886626,547.10916,,C12H25N10O9P3
340.2016151107,341.20889,,C15H33O6P
555.2660437654,556.27332,,C24H49N3O3S4
444.8369953847,445.84427,,C10H7NO5S7
624.0909009021,625.09818,,C21H25N10O5PS3
936.1311096856,937.13839,,C26H49O28PS3
398.350832604,399.35811,,C23H46N2O3
259.3713738296,260.37865,,
334.0566250119,335.0639,Nicotinamide ribotide,C11H15N2O8P
556.2746949441,557.28197,,C20H37N12O5P
555.26648771,556.27376,,C21H50NO9PS2
493.1017691953,494.10905,,C26H23NO5S2
213.9992655181,215.00654,,
627.0837351048,628.09101,,C25H29N3O8S4
225.1727839006,226.18006,,C13H23NO2
328.1497783866,329.15705,,C20H24O2S
307.0819476473,308.08922,,C14H9N7O2
410.3912416732,411.39852,Squalene,C30H50
555.2652562816,556.27253,,C33H38N3O3P
557.2735023567,558.28078,,C22H47N5O5S3
780.111783905,781.11906,,C26H40O19P4
624.0830468903,625.09032,,C19H21N12O7PS2
231.1332103423,232.14049,Arginyl-Glycine,C8H17N5O3
375.0810625637,376.08834,,C15H21NO6S2
552.2699205176,553.2772,,C25H45O11P
258.1216197999,259.1289,gamma-L-Glutamyl-L-pipecolic acid,C11H18N2O5
308.0832341648,309.09051,,
332.056241341,333.06352,,C15H13N2O5P
625.0923602387,626.09964,,C39H11N7O3
207.694954647,208.70223,,
342.1654529271,343.17273,,C21H26O2S
539.1355818544,540.14286,,C16H17N19S2
287.246042436,288.25332,Lauroyl diethanolamide,C16H33NO3
364.1052629514,365.11254,,C12H20N4O7S
403.2083427423,404.21562,,C14H34N3O8P
367.9977576145,369.00503,,C12H17O5PS3
523.2909970219,524.29827,1-Oleoylglycerophosphoserine,C24H46NO9P
220.369559365,221.37684,,
489.1693265136,490.1766,,C17H31NO15
384.1619881487,385.16926,,C20H24N4O2S
307.0849666203,308.09224,,C11H21N3OS3
255.2925491214,256.29983,,
469.065007834,470.07228,,C8H23N9O6S4
400.1568946137,401.16417,,C20H24N4O3S
624.0918505702,625.09913,,C19H20N12O9S2
406.1634511861,407.17073,,C14H26N6O6S
277.5652560509,278.57253,,
266.1003336719,267.10761,,C10H18O8
307.0859774404,308.09325,,C19H9N5
345.0307414349,346.03802,,C16H11NO6S
207.6962167146,208.70349,,
308.0808683623,309.08814,,C18H8N6
384.1215888129,385.12887,S-Adenosylhomocysteine,C14H20N6O5S
297.1706496983,298.17793,,C12H28NO5P
216.0974284751,217.1047,,C14H16S
304.0219946729,305.02927,,C14H8O8
472.1225838025,473.12986,,C21H28O8S2
555.2642559242,556.27153,,C17H38N11O8P
