,m/z,Name,Formula
546.8001974896,547.80747,,
561.4210955923,562.42837,,C26H63N3O5S2
562.0162095589,563.02349,,C13H18N14S6
509.1635834742,510.17086,,C14H39NO12S3
559.0625372479,560.06981,,C18H15N11O7P2
356.2926640643,357.29994,MG_18:1_11Z_0:0_0:0_0:0_,C21H40O4
876.1466155386,877.15389,,C24H41N14O10PS5
796.3603059332,797.36758,,C27H68N6O10S5
576.781625264,577.7889,,C14H4N5O3PS8
534.5962205252,535.6035,,
564.869714348,565.87699,,C24H7NO4S6
885.7393810832,886.74666,,C59H99NO2S
864.2860142852,865.29329,,C46H56O8S4
387.2468092969,388.25409,,C16H37NO9
270.1830455502,271.19032,Ethylene brassylate,C15H26O4
817.066562007,818.07384,,
874.0462646894,875.05354,,C20H38N6O20S6
230.2033217716,231.2106,,C17H26
848.018730269,849.02601,,
899.4285909189,900.43587,,C43H71N3O11P2S
810.6170213038,811.6243,,C32H94N10O2S5
549.7411393569,550.74842,,
229.0715630133,230.07884,,C6H16NO6P
824.6772910259,825.68457,,C46H96O9S
759.6360955356,760.64337,,C44H77N11
548.90128595,549.90856,,C16H12N3O7PS5
815.9728185997,816.9801,,C22H40O12S10
782.1241756131,783.13145,,C16H22N20O16S
570.5377655969,571.54504,,C39H70O2
559.422612131,560.42989,,C26H61N3O7S
844.7042884647,845.71156,,C33H93N14O8P
546.1933547143,547.20063,,C20H40N2O9P2S
563.5523916126,564.55967,,
549.1298883365,550.13716,,C12H36N7O7PS4
557.2827869773,558.29006,,C25H39N11S2
523.0491685255,524.05644,,C10H22N9O8PS3
561.2705691515,562.27785,,C16H43N5O16
804.2559155221,805.26319,,C39H40N12O2S3
528.8418939088,529.84917,,C11H4N3O12PS4
896.0623800078,897.06966,,C51H16N10O2S3
568.9795409809,569.98682,,C17H17NO15P2S
790.2443391418,791.25162,,C28H58O15P4S
805.9203569487,806.92763,,C22H6N20O4S6
557.7310402523,558.73832,,
557.4689061927,558.47618,,C21H63N7O9
890.0673311514,891.07461,,C17H31N16O17PS4
560.6264922717,561.63377,,C25H76N12O
314.1717094502,315.17899,,C10H27N4O5P
549.9448104143,550.95209,,C13H18N4O8S6
277.1309990328,278.13828,,
562.7772942153,563.78457,,
567.8933680405,568.90064,,C12H9N8O7PS5
553.4025693298,554.40985,,C22H63N7S4
475.1334089627,476.14069,,C20H29NO8S2
561.1991919989,562.20647,,
849.4626321094,850.46991,,C36H75N5O11S3
418.039267358,419.04654,,C16H18O9S2
547.825311292,548.83259,,C13H9O10PS6
807.7303627482,808.73764,,C34H97N9O11
471.1587258153,472.166,,C15H17N15O4
790.6378281018,791.6451,,C31H82N16O5S
993.355902645,994.36318,,C26H75N9O18S6
554.6687988435,555.67608,,
851.6819663479,852.68924,,C20H9N2O12PS11
352.0866584613,353.09393,,
554.6387493588,555.64603,,
533.0467313042,534.05401,,C25H27NS6
892.5313342202,893.53861,,C48H72N6O10
847.0028787316,848.01016,,C22H6N23O12PS
535.6351204857,536.6424,,
547.4252442854,548.43252,,C19H49N17O2
299.0852986149,300.09258,,C9H17NO10
646.4532256084,647.4605,PA_16:0_16:1_11Z_,C35H67O8P
648.5857518624,649.59303,zymosteryl oleate,C45H76O2
790.5687036805,791.57598,PG_10:0_26:1_9Z_,C43H83O10P
680.6307153593,681.63799,DG_10:0_30:0_0:0_,C43H84O5
734.6770266095,735.6843,DG_14:1_11Z_30:0_0:0_,C47H90O5
648.5742637978,649.58154,DG_14:1_11Z_24:1_11Z_0:0_,C41H76O5
634.5488713254,635.55615,DG_15:1_11Z_22:1_11Z_0:0_,C40H74O5
675.4822471799,676.48952,PC_12:0_16:1_9Z_,C36H70NO8P
739.5164653072,740.52374,"PE_18:2_9Z,11Z_18:2_9Z,11Z_",C41H74NO8P
916.5076689496,917.51495,1-MLCL_0:0_10:0_10:0_14:1_9Z_,C43H82O16P2
550.1636416927,551.17092,Castavinol C3,C26H30O13
914.5983518965,915.60563,PGP_10:0_30:0_,C46H92O13P2
802.7440068641,803.75128,DG_22:1_11Z_26:1_9Z_0:0_,C52H98O5
535.0974153275,536.10469,lipoyl-AMP,C18H26N5O8PS2
